Contact Distance,Fibril Radius (Å),Radius Error,Number of Chains,Filename
2.0,38.5119032502233,2.4034236971703535,21,collagen_rat.pdb
3.0,74.88090728539885,6.537037383568084,117,collagen_rat.pdb
4.0,74.88090728539872,6.537037383568197,117,collagen_rat.pdb
5.0,74.88090728539872,6.537037383568197,117,collagen_rat.pdb
6.0,74.88090728539872,6.537037383568197,117,collagen_rat.pdb
7.0,74.88090728539885,6.537037383568087,117,collagen_rat.pdb
15.0,75.21863145727606,4.090903417437659,237,collagen_rat.pdb
20.0,92.25901263111723,5.262875729471013,285,collagen_rat.pdb
25.0,100.84173479476746,10.909762808505342,399,collagen_rat.pdb
30.0,100.95718203674113,4.512960209163282,441,collagen_rat.pdb
35.0,100.3530439808935,4.046776607276421,561,collagen_rat.pdb
40.0,108.13743410815646,2.835946925067489,699,collagen_rat.pdb
45.0,117.51726618901824,4.62271082375856,813,collagen_rat.pdb
50.0,126.98865556175072,8.782208823701403,951,collagen_rat.pdb
55.0,127.94035968406526,7.155808953577726,1065,collagen_rat.pdb
60.0,128.0823756507481,7.487665616365014,1209,collagen_rat.pdb
70.0,143.47783835024342,3.964021400269111,1479,collagen_rat.pdb
80.0,150.4574985355179,6.144352958195697,1935,collagen_rat.pdb
90.0,161.325200894832,5.263354331679565,2241,collagen_rat.pdb
100.0,174.2579937435174,8.203665892111374,2601,collagen_rat.pdb
110.0,184.9320644639843,6.21188957468776,3063,collagen_rat.pdb
120.0,196.8870404275806,6.485787539337693,3609,collagen_rat.pdb
130.0,207.17692373122387,5.737310222133075,4119,collagen_rat.pdb
140.0,206.76101065268065,5.032224482646555,4623,collagen_rat.pdb
150.0,227.18160012078496,5.368879351425747,5259,collagen_rat.pdb
160.0,233.77814747036183,7.157483113386746,5883,collagen_rat.pdb
